Z,symbol,name,isotope,monoisotopic.mass,isotopic.composition,avg.isotopic.weight
56,134Ba,barium,134,133.904 508 18(30),0.024 17(18),137.327(7)
56,135Ba,barium,135,134.905 688 38(29),0.065 92(12),137.327(7)
56,136Ba,barium,136,135.904 575 73(29),0.078 54(24),137.327(7)
56,137Ba,barium,137,136.905 827 14(30),0.112 32(24),137.327(7)
56,Ba,barium,138,137.905 247 00(31),0.716 98(42),137.327(7)
57,138La,lanthanum,138,137.907 1149(37),0.000 8881(71),138.90547(7)
57,La,lanthanum,139,138.906 3563(24),0.999 1119(71),138.90547(7)
58,136Ce,cerium,136,135.907 129 21(41),0.001 85(2),140.116(1)
58,138Ce,cerium,138,137.905 991(11),0.002 51(2),140.116(1)
58,Ce,cerium,140,139.905 4431(23),0.884 50(51),140.116(1)
58,142Ce,cerium,142,141.909 2504(29),0.111 14(51),140.116(1)
59,Pr,praseodymium,141,140.907 6576(23),1,140.90766(2)
60,Nd,neodymium,142,141.907 7290(20),0.271 52(40),144.242(3)
60,143Nd,neodymium,143,142.909 8200(20),0.121 74(26),144.242(3)
60,144Nd,neodymium,144,143.910 0930(20),0.237 98(19),144.242(3)
60,145Nd,neodymium,145,144.912 5793(20),0.082 93(12),144.242(3)
60,146Nd,neodymium,146,145.913 1226(20),0.171 89(32),144.242(3)
60,148Nd,neodymium,148,147.916 8993(26),0.057 56(21),144.242(3)
60,150Nd,neodymium,150,149.920 9022(18),0.056 38(28),144.242(3)
61,Pm,promethium,145,144.912 7559(33),,[145]
61,147Pm,promethium,147,146.915 1450(19),,[145]
62,144Sm,samarium,144,143.912 0065(21),0.0307(7),150.36(2)
62,147Sm,samarium,147,146.914 9044(19),0.1499(18),150.36(2)
62,148Sm,samarium,148,147.914 8292(19),0.1124(10),150.36(2)
62,149Sm,samarium,149,148.917 1921(18),0.1382(7),150.36(2)
62,150Sm,samarium,150,149.917 2829(18),0.0738(1),150.36(2)
